"","Sex","ag","n_draw","prob_symptoms_str"
"433","Female","15-24",37,0.220517083395655
"434","Female","2-14",37,0.147011388930437
"435","Female","25-34",37,0.294022777860874
"436","Female","35-49",37,0.367528472326092
"437","Female","50+",37,0.441034166791311
"438","Female","<2",37,0.0735056944652184
"439","Male","15-24",37,0.220517083395655
"440","Male","2-14",37,0.147011388930437
"441","Male","25-34",37,0.294022777860874
"442","Male","35-49",37,0.367528472326092
"443","Male","50+",37,0.441034166791311
"444","Male","<2",37,0.0735056944652184
"445","Female","15-24",38,0.1526823299229
"446","Female","2-14",38,0.1017882199486
"447","Female","25-34",38,0.203576439897199
"448","Female","35-49",38,0.254470549871499
"449","Female","50+",38,0.305364659845799
"450","Female","<2",38,0.0508941099742999
"451","Male","15-24",38,0.1526823299229
"452","Male","2-14",38,0.1017882199486
"453","Male","25-34",38,0.203576439897199
"454","Male","35-49",38,0.254470549871499
"455","Male","50+",38,0.305364659845799
"456","Male","<2",38,0.0508941099742999
"457","Female","15-24",39,0.245050826290638
"458","Female","2-14",39,0.163367217527092
"459","Female","25-34",39,0.326734435054184
"460","Female","35-49",39,0.40841804381773
"461","Female","50+",39,0.490101652581276
"462","Female","<2",39,0.081683608763546
"463","Male","15-24",39,0.245050826290638
"464","Male","2-14",39,0.163367217527092
"465","Male","25-34",39,0.326734435054184
"466","Male","35-49",39,0.40841804381773
"467","Male","50+",39,0.490101652581276
"468","Male","<2",39,0.081683608763546
"469","Female","15-24",40,0.212463875247139
"470","Female","2-14",40,0.141642583498093
"471","Female","25-34",40,0.283285166996186
"472","Female","35-49",40,0.354106458745232
"473","Female","50+",40,0.424927750494278
"474","Female","<2",40,0.0708212917490464
"475","Male","15-24",40,0.212463875247139
"476","Male","2-14",40,0.141642583498093
"477","Male","25-34",40,0.283285166996186
"478","Male","35-49",40,0.354106458745232
"479","Male","50+",40,0.424927750494278
"480","Male","<2",40,0.0708212917490464
"481","Female","15-24",41,0.203197374379792
"482","Female","2-14",41,0.135464916253195
"483","Female","25-34",41,0.27092983250639
"484","Female","35-49",41,0.338662290632987
"485","Female","50+",41,0.406394748759584
"486","Female","<2",41,0.0677324581265974
"487","Male","15-24",41,0.203197374379792
"488","Male","2-14",41,0.135464916253195
"489","Male","25-34",41,0.27092983250639
"490","Male","35-49",41,0.338662290632987
"491","Male","50+",41,0.406394748759584
"492","Male","<2",41,0.0677324581265974
"493","Female","15-24",42,0.308365542458867
"494","Female","2-14",42,0.205577028305911
"495","Female","25-34",42,0.411154056611823
"496","Female","35-49",42,0.513942570764778
"497","Female","50+",42,0.616731084917734
"498","Female","<2",42,0.102788514152956
"499","Male","15-24",42,0.308365542458867
"500","Male","2-14",42,0.205577028305911
"501","Male","25-34",42,0.411154056611823
"502","Male","35-49",42,0.513942570764778
"503","Male","50+",42,0.616731084917734
"504","Male","<2",42,0.102788514152956
"505","Female","15-24",43,0.189980050966755
"506","Female","2-14",43,0.12665336731117
"507","Female","25-34",43,0.25330673462234
"508","Female","35-49",43,0.316633418277925
"509","Female","50+",43,0.37996010193351
"510","Female","<2",43,0.063326683655585
"511","Male","15-24",43,0.189980050966755
"512","Male","2-14",43,0.12665336731117
"513","Male","25-34",43,0.25330673462234
"514","Male","35-49",43,0.316633418277925
"515","Male","50+",43,0.37996010193351
"516","Male","<2",43,0.063326683655585
"517","Female","15-24",44,0.15884299237688
"518","Female","2-14",44,0.105895328251253
"519","Female","25-34",44,0.211790656502507
