Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nepal,NPL,6.85454384319008,12.603636840957,27.8081906621043,29.4549209427301,31.3487650786609,30.4751052856445,31.1103649139404,31.8753757476807,31.6953372955322,32.4816780090332,32.8458692669969,33.4071598443357
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Netherlands,NLD,0.918099,0.890437,0.808798,0.809978,0.795448,0.78215,0.776747,0.767329,0.747828,0.733515,0.726469,0.739454
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,New Zealand,NZL,1.53733,1.444836,1.44073,1.478014,1.441008,1.430959,1.47006,1.436661,1.422947,1.455754,1.45327,1.460444
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nicaragua,NIC,0.0628262888684597,4.59831808823708,10.0315089647279,10.3769956491351,10.3718349580235,10.5358943939209,10.8195791244507,10.8463048934937,10.6103572845459,10.564323425293,10.7357374110945,11.4631845494296
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Niger,NER,156.146999793726,180.991597871014,240.351208944006,244.950867403413,250.645662672075,250.788452148438,251.85302734375,231.897216796875,222.843276977539,212.888137817383,206.87779295931,206.364660706062
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Nigeria,NGA,2.34965203737884,23.3246500900091,92.3195424739233,96.1893655294467,104.499952232403,114.824493408203,123.914825439453,129.647445678711,134.639099121094,146.717681884766,152.570856698917,165.785284949663
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North Macedonia,MKD,0.0482164040032132,19.9437721651454,18.997255404989,19.4420122639407,18.9593882186243,18.971970961339,18.9523719113618,18.2566456848567,18.0638402524481,17.7484897022286,18.1336817408791,18.6516828695
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Norway,NOR,9.583006,9.085403,9.278458,9.932516,10.0419,9.74983,9.583999,9.481152,9.588324,8.962043,8.418371,8.894996
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Oman,OMN,0.107434678435161,0.0923015419471134,0.201313489093613,0.200559125055299,0.197362899134665,0.203804805874825,0.202545270323753,0.197977468371391,0.183537229895592,0.192684262990952,0.224375561795763,0.201639189861095
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pakistan,PAK,6.29803040090348,12.9553194829318,30.2479895467861,31.2534611756898,32.1021392014357,33.2462348937988,34.6823616027832,37.6706199645996,40.0747337341309,43.4407234191895,46.2313784512017,56.2744628403118
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Palau,PLW,0.666676696450379,0.765058911983911,0.849643914975902,0.89655122315097,0.936091176562907,0.912604132926216,0.873858792600102,0.832971652114227,0.824258432974273,0.808066925999322,0.798780000673691,0.832744639508332
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Panama,PAN,0.51664373622089,0.485727222020264,0.542055920926051,0.516884225192376,0.489893443799203,0.46803081035614,0.497522056102753,0.495729207992554,0.491933196783066,0.501403868198395,0.479895692703892,0.470127945537058
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Papua New Guinea,PNG,0.727106172374093,1.25602615721485,1.91532790411442,1.87435315018583,1.90345749039088,2.01394900193006,2.16174458683403,2.14868282657922,2.15529939821267,2.30635436438146,2.48743885995066,2.33960072399207
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Paraguay,PRY,314.20494270507,872.503723898403,2354.52258242817,2413.54097564554,2456.88392018762,2473.22973632813,2537.22705078125,2567.44946289063,2538.99243164063,2628.08447265625,2652.96644296812,2612.61995392143
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Peru,PER,0.0737618958640434,1.35462332867259,1.64340328251833,1.71067607184917,1.73893024874345,1.74423778057098,1.75371789932251,1.73128080368042,1.70620810985565,1.73354005813599,1.6967032678914,1.74452671883385
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Philippines,PHL,7.48709549720464,13.7976794482995,19.0280566369191,19.2053500054402,19.2036678961722,19.6985569000244,19.9645137786865,19.7382965087891,19.4414348602295,19.37526512146,19.0942725763965,19.2695632962606
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Poland,POL,0.266082,1.832933,1.767142,1.765116,1.732843,1.742879,1.748426,1.698557,1.698184,1.722789,1.787327,1.879248
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Portugal,PRT,0.476282,0.661032,0.578868,0.584947,0.571416,0.575688,0.571227,0.550687,0.542815,0.537629,0.523337,0.517344
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Puerto Rico,PRI,0.645231035743903,0.705907473604765,0.882221594454939,0.90466688850717,0.929672822662417,0.951732039451599,0.910205298541424,0.8788661493183,0.852639704445258,0.804228127002716,0.77411533970985,0.771056552808603
