"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1202650492002","27.8605213609529","28.5799251286518","28.6243721059778","29.7596766226717","31.8859872756928","33.2362005599547","34.4992533559942","36.1332113271821","37.4994216829263","38.7918990062373","40.0569649511615","41.6163294952097","44.0366589142355","46.0456713509634","48.1574919288105","50.9871952427828","54.2867092672003","58.5541690762121","62.5149807529919","66.9814654698801","72.2458408289202","78.144405731421","83.751230452617","88.4989105941776","93.6962542971082","100","105.047597582037","111.146176583513","115.212056606306","119.63742472873","124.567892016512","130.857352138425","139.882746030917",
"Bulgaria","BGR","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0666541263213819","0.217650957595726","0.347324458508456","0.524776184800659","0.906314543280298","2.1385000909847","3.48503328305984","35.3108137487102","47.2991982100264","48.8691246255432","52.4760752855494","55.6864213511369","57.8294465875984","59.0955704054187","62.3940236039459","66.5084468634709","71.0020729740094","78.8488185801031","85.2382980832073","88.5949987344776","89.2719796979306","94.7290239801656","95.7825802413302","95.8514972616046","97.1366581679664","100","103.323559744813","108.29664716392","112.882582938789","118.796791063503","123.857659914249","132.694274403267","154.166803362189","165.745557556149",
"Bahrain","BHR","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0734473822019","53.0555017602274","51.1812350534266","49.6325856848009","53.2712435746739","53.8522571403482","53.958195300878","54.4609326333143","50.6174007406133","51.9620198187796","59.4042922614825","57.406034092726","59.3660767626763","64.4730913758321","71.5593834076986","81.3880416954713","88.584727776441","96.0574100352347","106.974422984568","93.0742293518084","100","109.736753495957","113.045059667271","113.479310971696","111.583204451318","101.128603412684","101.263999318563","107.144644131306","111.779250020115","111.872319413731","105.084939733005","116.238852195097","125.188159721779","118.913830536365",
"Bahamas, The","BHS","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6535192169161","63.229716027023","65.6991939618219","65.1394475067903","66.5616804327126","67.0957948775987","67.7561809719077","69.0622997778594","71.1681474226859","74.6916389352316","75.3808242337483","75.6470321456337","78.6430134314026","79.551245121175","80.5018805841146","84.5720624273918","85.2724836032329","87.7862872666908","89.0930833215896","88.1697401449269","87.8236161058171","87.0695578632707","88.9029243259621","88.7514827404019","91.9892889182804","96.6704240796892","98.2214911308714","99.5458217307584","99.9999207343801","104.593324965567","101.837496880919","100.74596445459","105.079094888269","111.745754152327",
"Bosnia and Herzegovina","BIH","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0176801785370612","0.0262501867702693","0.383785286317391","29.3396700759977","43.7508077255807","49.6057360974932","50.4190885701215","56.0404609601201","54.6732448187931","59.2840165534908","62.7774702239144","65.7444073031819","69.0367993683273","70.0108129774173","71.5244268553461","75.9510849113823","81.8753662655713","86.9496489040778","93.3277110931164","93.5008027598258","94.8156989073914","97.1221172447111","97.8949891680794","97.6755849573476","98.6526701878484","100","101.333305967465","103.135728601171","106.014891285743","108.635054290237","108.702562882766","114.099215119623","127.573008995758","134.628436769687",
"Belarus","BLR","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.99490333424277E-07","1.47156471706912E-06","1.66401125739791E-05","0.0001928113968362","0.00394443645960667","0.0300370444593338","0.0461712408455454","0.0792527385604167","0.139944839577166","0.583280903734284","1.66404652850304","2.98753882026457","4.32875669586412","5.65704960755588","6.93979253618774","8.25642111657711","9.14387209586735","10.3209355230348","12.5103709096996","13.66866385512","15.211920892111","26.0182902250261","45.6041746114139","55.2983888574846","65.3101419204241","75.7749422691186","82.0953336157777","89.1748534806258","100","108.576908509215","121.473542440813","140.091081894503","160.9431916829","172.80185707763",
"Belize","BLZ","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7093864956933","70.9230709409285","73.3414812990447","74.7182222432489","76.6892001543457","80.7657798201637","82.9855887202517","81.7407532981501","83.7090809038774","82.3092028816209","83.4731354063972","81.8411450619517","82.430327058165","79.0036620321519","80.657084976815","83.0866401470279","85.7847506090594","89.0755293956826","92.2088157446097","89.9282140320028","91.869464084256","96.3703725748305","97.0896872253046","98.9475498063797","100.001163374594","100.048478366816","102.151438471849","105.248601654506","105.349487617356","105.211835981004","104.633531316977","105.113586039899","112.855027436476","125.152555301297",
"Bermuda","BMU","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3716562319384","39.7748746571716","40.8940923380904","43.0190739349176","43.8620619277482","45.6948221823941","59.1129685375105","61.4916171119461","63.1774412212562","64.8909089532975","62.1418989427849","61.2910547089085","66.5500982877799","68.4299652151524","71.6407967629039","76.4854159050523","80.5981896890988","85.8974358974359","90.2858621135688","91.2280701754386","93.26813235321","92.1943774011801","98.3697445916743","100","103.011890877215","106.052822570235","110.690728681653","110.58575652825","112.367422425256","115.08598584514","114.614358457867","115.028574784288","116.107803731033","",
"Bolivia","BOL","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","117.689440220317","133.22351000341","141.959186302551","153.248075682186","170.760165006231","190.53454536447","201.404623789907","215.605919124582","220.805397924996","232.277133068375","236.620933002331","243.295435473664","258.696017787212","279.308164996475","295.901297843595","336.332302936693","361.131273781464","398.620967714581","388.974761525541","423.117052785868","484.90210368379","519.331488956214","550.467428639308","561.749246069465","535.793047718718","528.53374534233","560.570289582642","577.702807367188","573.699308011111","563.060704443202","585.33605981201","615.331398003723","625.789282560252",
"Brazil","BRA","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000551867231174728","0.00285137709106891","0.0304815907229757","0.638939939283195","14.9522735330268","29.0041275916166","34.3572000829297","37.0126761209934","38.8353141254346","41.94621730641","44.2977495727329","47.9412812572841","52.638621802997","60.0559413306886","64.7115143945629","69.5203724699877","74.229873069747","79.0095628686602","85.9454590018312","92.2310653168394","100","108.31859221882","116.922475499848","125.696998127234","135.560076726606","145.816789378239","157.633205078013","163.4205261562","170.763883603534","177.977392101691","189.496978107014","214.221162145944","232.580519745323","243.416433970024",
"Barbados","BRB","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.866631172634","56.2880886426591","57.482743427816","60.4691825732185","61.8054563633765","62.4334920190421","64.0183140317801","64.6052969915143","70.2280614774416","73.3415688696724","72.3713778829093","74.0036341611143","74.6754807692306","75.5087636748616","79.9095232571625","85.2376701629098","88.7293211392503","96.3709219329584","98.1122817297554","96.3171169788039","100.000313136848","103.613798354335","102.989060131685","105.957435880967","106.43454790372","104.507020736724","104.261805647953","106.985210071153","110.546437717009","115.256023866118","117.358734412607","122.876654005736","127.884868636335","133.941276108315",
"Brunei Darussalam","BRN","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7810997571655","47.3970429685286","48.2155308231382","46.7924544804251","42.6917385269902","43.9182711213242","45.8896550701818","49.82921467679","44.0248219478412","49.1290494486687","63.3841915567273","59.8398121852074","60.063738464259","63.7303960881821","73.8547117476471","87.7145226565563","96.5278335866886","97.6093774719958","109.998672168554","85.6984073813418","100","120.180505415162","121.645148464251","118.213148138478","116.030392854435","95.5941881852305","86.8302452990269","91.1315467283363","99.5301053455956","96.2115891186128","85.7593933357373","99.0228799644575","123.022784889333","107.157525632439",
"Bhutan","BTN","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5163718257691","17.9931475897108","19.5987282463054","21.2672563188659","23.89190267403","25.8711993284716","27.9700346938352","31.580092056777","34.9579830905698","37.1149811869951","39.8430051119797","41.9695579919179","44.1373666700962","45.7370400027207","47.7247176214844","50.8168986722289","54.1581726415063","56.6972041328717","59.8757519680849","62.5247147620963","66.3274000103499","72.4020360478202","78.9327596541812","83.9772951809552","88.9659973238191","91.9162943069537","95.7321109890675","100.000004088809","101.150862820959","104.294633877253","109.809075032624","118.185333343711","125.034008012394","",
"Botswana","BWA","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3047413194728","11.8900680341147","12.6794830445781","14.3360195278958","15.6927524179975","16.8156151239835","19.5249798986792","20.4993952027437","22.5426254388207","25.7516151701748","29.4008680358561","31.8449107440145","32.2230278823981","33.2732035483007","36.6267394122071","42.2935210599698","45.4541713031296","48.1946931314576","52.7118517162","60.6760504693889","65.3378287144023","73.6052342972153","75.8221073697566","76.983793797903","86.1480268455707","89.3616216596854","100.000043304224","97.3501228802643","97.4058041896876","97.9002218652352","102.187266537737","110.752040906925","126.941276942142","129.639871082115",
"Central African Republic","CAF","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.3715320082759","68.105009105393","70.0001311133962","67.5970123898828","84.0991801426164","92.4232966901621","89.148697020526","89.8827304541177","89.5104774452601","93.1667257824233","101.09204748249","101.522637610077","99.1146407414101","100.439227266731","95.9799405779417","100","103.334045938691","105.233565076799","112.681018902264","113.482889023764","118.262004495585","123.003264324647","130.606140591353","133.854951069298","149.775395659037","153.831707444311","158.416067824217","168.623933947484","166.559779438768","170.437019697284","173.815355075019","179.352706374979","190.056340390242","196.51816661816",
"Canada","CAN","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.9572690229339","63.8511601708573","64.7903154925813","65.6254904427893","66.5807553998355","68.0876947690984","69.2283509111884","70.0204120702274","69.8970184196155","71.2417361518867","74.3579914841635","75.528145920403","76.4779300706626","78.9632616663383","81.5381540552542","84.079403560706","86.2403894160411","89.0867928324805","92.646982994056","90.4930128371262","93.0708309767074","96.090472369214","97.2612806831953","98.9543446636502","100.87524539044","100","100.716978140661","103.306426407978","105.012137614296","106.6356995625","107.777565582849","116.038570940455","124.919954205826","126.92522153949",
"Central Europe and the Baltics","CEB","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5341318229775","85.9443984260095","87.7704032326207","89.8084530540351","90.8721328192312","91.5425489860064","91.7988886841797","91.3614822760958","91.188572394322","91.228486140468","92.4758400072472","93.3769091673089","93.1439674884702","94.2428420527455","94.5223920310587","95.3963822618684","97.4476505884654","99.7640410045656","101.210547779064","101.67363054717","101.991601176268","101.970740919032","102.035716943489","101.947106432709","101.281265613495","100","99.416708408416","99.0509849418118","99.8080209194182","99.7043252183795","99.007204917118","100.241024751245","102.744203027556","103.795598867965",
"Channel Islands","CHI","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0486075988186","92.0923538874546","95.3798913152292","97.2048224410712","99.1282786361944","95.8437852652615","100","",
"Chile","CHL","GDP deflator: linked series (base year varies by country)","NY.GDP.DEFL.ZS.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3049728280844","23.4344961487761","26.5898050633452","29.8243005412898","34.1380828835018","38.1256561125587","39.6810975553009","41.0027084546247","41.3221155376649","42.2261475048356","44.1516781938958","46.0401103650959","47.5781540852392","49.6241578668573","53.1101367060491","56.8917459257983","63.9178173335754","67.170439778654","67.3794288491707","69.7901267105444","75.9717463537977","78.4488164331782","79.0477470068817","80.8348352408706","85.5660105453307","89.8052634747071","93.9009726511139","98.434691789482","100","102.567787213795","112.481705102267","120.259540425025","129.776620051111","138.341243723846",
